도서명,저자,출판사
여성의 아들 예수 : 예수는 여성의 삶과 고뇌를 어떻게 알아가고 이해했는가,김근수 지음,클라우드나인
예수님과 여행을 시작합니다 : 일상의 여행자들을 위한 에세이,김유림 글,토기장이
AI 소사이어티 : 스마트 인류가 사는 세상,"김태헌,이벌찬 지음",미래의창
ESG 혁명이 온다,"김재필 지음.,2,미래 전략과 7가지 트렌드 편",한스미디어·한즈미디어
게임은 훌륭하다 : 17가지 시선으로 읽는 게임의 오해와 진실,"고영삼,김지연,김치용,문현실,박성옥,방승호,서보경,심한뫼,이동훈,이창호,이형민,정승안,정철우,이상호,차재필,이장주,최승우",호밀밭
(서울대 신재용 교수의)공정한 보상,신재용 지음,홍문사
"그건 내 건데 : 기본소득, 모두가 조건 없이 찾아야 할 권리","글쓴이: 이선배,그린이: 김휘승",내일을여는책
그들은 어떻게 디지털 트랜스포메이션에 성공했나,"김형택,이승준 지음",윌컴퍼니
금융과외 : 그랜드 투어,육민혁 글,지식과감성#
나는 괜찮지 않아도 괜찮아,"비장애형제 자조모임 &apos,나는&apos, 글",한울림스페셜 :한울림
노명우의) 한 줄 사회학 : 앎의 세계로 건너가기,노명우 지음,EBS Books :한국교육방송공사
뉴 애브노멀 : 팬데믹의 그림자 서플라이 쇼크를 대비하라,"요시 셰피,옮긴이: 김효석,류종기",드루 :한국학술정보
다름과 어울림 : 공존을 위한 사회적 다양성,"민지영,허태균,신혜린,박지훈,이대현,신지영,유지원,이보라,전대원,임소연,윤석원,윤태웅",동아시아
"다시, 협동조합을 묻다 : 정체성 전환의 시대, 한국판 레이들로 보고서","김기태,강민수 지음",북돋움coop(북돋움출판협동조합)
"돈의 진격 : 포스트 코로나 시대, 부와 세계 경제의 길을 묻다",박구재 지음,황소자리(황소자리 출판사)
라디오 키즈의 탄생 : 금성사 A-501 라디오를 둘러싼 사회문화사,김동광 지음,궁리(궁리출판)
만질수록 똑똑해지는 촉감놀이,김승언 지음,한언
"문제 해결 저널리즘 : 문제를 넘어 해법과 대안으로, 솔루션 저널리즘의 한국형 모델과 실행 방법론",이정환 지음,인물과사상사
"미국 외교의 대전략 : 자유주의 패권의 연장인가, 역외균형으로의 복귀인가","스티븐 M. 월트 지음,김성훈 옮김",김앤김북스
"밥은 먹고 다니냐는 말 : 농촌사회학자 정은정의 밥과 노동, 우리 시대에 관한 에세이",정은정 지음,한티재
"부자, 관상, 기술",김영한 지음,쌤앤파커스
(사소하지만 위대한) 가족회의 : 작지만 큰 민주주의 교과서,"김선우,박애랑 지음",ㄱ(기역)
소란스러운 동거 : 장애와 비장애의 벽을 허무는 '사이'의 이야기,박은영,IVP(한국기독학생회출판부)
(안국신 교수의) 한국의 분배,안국신,율곡출판사
어느 대학 출신이세요? : 지방대를 둘러싼 거대한 불공정,"제정임,곽영신 엮음",오월의봄
오징어 게임과 콘텐츠 혁명,"정길화,서정민,홍경수,임종수,이성민,김윤지,유건식 지음",인물과사상사
우리가 선택한 가족 : 가족의 재구성과 새로운 독립성의 시대,"에이미 블랙스톤 지음,신소희 옮김",문학동네
위대한 패배자들 : 인생의 성패를 떠나 최선을 다해 경주한 이의 삶에 대하여,유필화 지음,흐름출판
"재정전쟁 = ,Fiscal wars : 세금과 복지의 정치경제학",전주성 지음,웅진지식하우스 :웅진씽크빅
지속 불가능 자본주의,"사이토 고헤이 지음,김영현 옮김",다다서재
"세종 차이, 차별, 처벌 : 혐오와 불평등에 맞서는 법",이민규 지음,RHK:알에이치코리아
초가치 : 돈으로 살 수 없는 미래,"마크 카니 지음,이경식 옮김",윌북
최전선의 사람들 : 후쿠시마 원전 작업자들의 9년간의 재난 복구 기록,"가타야마 나쓰코 지음,이언숙 옮김",푸른숲
탈북 마케팅 : 누가 그들을 도구로 만드는가,문영심 지음,오월의봄
팬데믹 이후의 세계 A.C,JTBC 팩추얼 <A.C.10> 제작진 지음,중앙books :중앙일보에스
(플랫폼 제국의 탄생과) 브랜드의 미래,김병규 지음,미래의창
"과학 그 너머 = ,Beyond science",정태성 지음,북스힐
궁극의 질문들 : 현대 과학의 최전선,이명현 엮음,사이언스북스
(The ghost) 몸의 주인은 나야! 기생충,"최재훈,그림·캐릭터: 이유철",예림당
"미술관에 간 해부학자 = ,Gallery of anatomy : 명화로 읽는 인체의 서사",이재호 지음,어바웃어북
수학이 보이는 가우디 건축 여행,문태선 지음,궁리(궁리출판)
이전 세계의 연대기,"존 맥피 지음,김정은 옮김",글항아리 사이언스 :글항아리
"지구 격동의 이력서, 암석 25 : 우주, 지구, 생명의 퍼즐로 엮은 지질학 입문","도널드 R. 프로세로 지음,김정은 옮김",뿌리와이파리
"지오포이트리 = ,Geo poetry : 한 권으로 읽는 지구과학의 정수",좌용주 지음,이지북
콩 팬클럽,안난초 지음,씨드북
"휴가 갈 땐, 주기율표 : 일상과 주기율표의 찰떡 케미스토리",곽재식 지음,초사흘달
"뉴노멀시대, 걱정 많은 부모가 반드시 챙겨야 할) 10~15세 미래 진로 로드맵",최연구 지음,물주는아이 :백도씨
꼬꼬와 베리의 가전제품 잡학사전 : 종류도 많고 기능도 다양한 가전 세계에서 똑똑하게 구매하는 법,김영현,크루 :한국학술정보
(맛? 건강?) 또 다른 문화 한류를 이끄는 한식 : 한식으로도 한류 열풍을 일으키고 있다고?,"글쓴이: 이상미,그린이: 김창희",동아엠앤비 :뭉치
"무엇이 도시의 얼굴을 만드는가 : 돈, 권력, 성, 노동, 전쟁, 문화로 읽는 도시","리처드 윌리엄스 지음,김수연 옮김",현암사
"세종의 허리 가우디의 뼈 : 탐정이 된 의사, 역사 속 천재들을 진찰하다",이지환 지음,부·키
(안병수의) 호르몬과 맛있는 것들의 비밀 : 면역력을 키우려면 가공식품을 버려라 : 맛있는 음식의 함정에서 벗어나라 : 팬데믹을 극복하는 식생활의 지혜,안병수 지음,국일미디어
여덟 살 글쓰기 : 내 아이가 빛나는 생각을 쓴다,오은경 지음,이규(이규출판사)
우리 아이 왜 그럴까,최치현 지음,아몬드
의학에 관한 위험한 헛소문 : 의사이자 에미상 수상 디벙커가 알려주는 가짜 뉴스 구별법,"시마 야스민 지음,김보은 옮김",모티브북
"플라스틱 시대 = ,The age of plastic : 플라스틱의 역습, 어떻게 대처할 것인가?",이찬희 지음,서울대학교출판문화원
"그런 순간, 이런 클래식 : 바이올리니스트의 인생 플레이리스트",김수연 지음,가디언
"나무, 돌, 그리고 한국 건축 문명 : 동과 서, 과거와 현재를 횡단하는 건축 교양 강의",전봉희 지음,21세기북스(북이십일 21세기북스)
세상을 바꾼 디자인 명품가구 40,최경원 지음,도트북
"슬라브, 막이 오른다",김주연 지음,파롤앤
"팀랩, 경계 없는 세계 : 새로운 경험을 창조하는 실험 집단, 인류를 미래로 이끌다","이노코 도시유키,우노 쓰네히로 지음,정은주 옮김",북노마드
"10대, 우리답게 개념 있게 말하다 : 모두의 언어 감수성을 높이는 슬기로운 언어생활","정정희,일러스트: 박상규",맘에드림
세종 미끄러지는 말들 : 사회언어학자가 펼쳐 보이는 낯선 한국어의 세계,백승주 지음,타인의사유
언어의 높이뛰기 : 신지영 교수의 언어 감수성 향상 프로젝트,신지영 지음,인플루엔셜
외국어 학습담 : 외국어 학습에 관한 언어 순례자 로버트 파우저의 경험과 생각,로버트 파우저 지음,혜화1117
가장 낮은 곳에서 가장 치열하게 : 이창복 회고록,글쓴이: 이창복,삼인
고래 2022,"강은교,김형영,윤후명,정희성",문학나무
괴물들이 사는 궁궐,무돌 글·그림,노란돼지
그 모퉁이 자작나무 : 윤재철 시집,윤재철,비
그때 그 마음 외 : 제67회 現代文學賞 수상소설집,"정소현,김멜라,손보미,안보윤,위수정,이장욱,임솔아,정지돈,조해진,한정현",현대문학
"나는, 비둘기",고정순,만만한책방
나보다 어렸던 엄마에게 : 정진영 장편소설,정진영,무블(무블출판사)
내 창문 밖의 별 : 엄마 이름은 내가 지켜 줄게,"온잘리 Q. 라우프 지음,피파 커닉 그림,정회성 옮김",다봄
대통령의 염장이 : 대한민국 장례명장이 어루만진 삶의 끝과 시작,유재철 지음,김영사
딸기 따러 가자 : 고립과 불안을 견디게 할 지혜의 말,정은귀,마음산책
모퉁이를 돌면 : 성현정 동화집,"성현정 동화,혜란 그림",책읽는곰
"밥보다 진심 : 내 마음 모를 때, 네 마음 안 보일 때 : 52개 진짜 마음 사용 설명서",김재원 지음,책밥상
"사진기로 상상을 그리다 = ,Draw one's imagination with a camera",글·사진: 김석은,달꽃 :로앤오더
수박수박수 : 이상교 동시집,"이상교 시,노석미 그림",토토북
안젤라,안이희옥 지음,열린책들
연연하기 싫어서 초연하게 : 반투명한 인간의 힘 빼기 에세이,김영 지음,카멜북스
이우 왕자 : 조선의 자존심을 지킨 마지막 왕자,"김바다 글,허구 그림",도토리숲
잊혀진 나라 가야 여행기,정은영 글·그림,율리시즈
하늘의 피리 소리 : 한 줄로 읽는 고전,맹난자 지음,북인
흰 빨래는 희게 빨고 검은 빨래 검게 빨아 : 박순원 시집,박순원,함께하는출판그룹파란
"1923년생 조선인 최영우 : 남방의 포로감시원, 5년의 기록","최양현,최영우 지음",효형출판
"(3, 000년 아랍 역사 속을 달리는) 이슬람 버스","이희수 글,한창수 그림",니케주니어 :니케북스
나는 그곳에 집을 지어 살고 싶다 : 살아생전에 살고 싶은 곳 44,신정일 지음,창해
나는 시민이다 : 그리스와 로마에서 만나는 최초의 시민들,"김헌,김기영,이윤철,최자영,김경현,김남우,성중모,박믿음",아카넷
베르베르 문명 : 서구중심주의에 가려진 이슬람과 아프리카의 재발견,임기대 지음,한길사
"에도시대 도시를 걷다 : 조선통신사가 인식한 문화공간으로서의 일본도시-오사카, 교토, 나고야, 에도",김경숙 지음,소명출판
음식을 공부합니다 : 음식에 진심인 이들을 위한 '9+3'첩 인문학 밥상,주영하 지음,휴머니스트
"(인문학자 공원국의) 유목문명 기행 : 신화부터 역사까지, 처음 읽는 유목문명 이야기",공원국 지음,위즈덤하우스
"현대인의 인문학 = ,Contemporary humanities",염철현,KU Press(고려대학교출판문화원)
(그림으로 이해하는 비전공자를 위한) 딥러닝,윤준호 저,Digital Books(디지털북스)
"(딥러닝을 위한)파이토치 입문 = ,Pytorch for deeplaerning",딥러닝호형 저,영진닷컴
"(머신러닝포키즈와 함께하는) 인공지능교육 = ,Artificial intelligence education with machine learning for kids","이재호,김홍래,박남제,박선주,성영훈,이광호,이용배,전우천,조정희,한규정,한정혜 지음",홍릉
컴퓨터식 사고와 문제해결 기법,용환승 지음,Infinitybooks(인피니티북스)
조선 초·중기 불교와 유교의 심성론과 상호인식 연구,박정원 지음,역락
초연결의 철학,"송상용,정대현,김선희,이영의,정성훈,심지원,이지선",앨피
혁명의 넝마주이 : 벤야민의 『모스크바 일기』와 소비에트 아방가르드,김수환,문학과지성사
李信의 묵시의식과 토착화의 새 차원 : 슐리얼리스트 믿음과 예술,"김성리,김종길,심은록,이명권,이은선,이정배,이혁,조재형,최대광,최자웅,하태혁 함께 씀,한국信연구소 엮음",동연
한국의 신종교 성지,"강돈구,윤용복,허남진,고병철 지음",한국학중앙연구원출판부
WTO 무역분쟁의 이해 : 분쟁해결제도를 중심으로,나희량 저,두남
"교육과정철학 = ,The philosophy of curriculum",김승호 저,교육과학사
교육의 폴리틱스·이코노믹스,김상규 지음,세창출판사
김정환의 민족과 종교와 교육 : 안창호 최현배 김교신 함석헌의 교육사상 탐구,"김정환 저,우정길 편저",박영story :피와이메이트
"(대학에서 듣는) 중국경제 : 세계 2위 경제대국이 된 이웃국가, 중국경제의 비하인드 스토리",오지혜 지음,신아사
여성민요의 틈과 경계,이정아 지음,한국학술정보
"영국 거버넌스 체제 변동 연구 = ,A study of governance system change in Britain",주재현,윤성사
틈새시간 : 문제는 속도가 아니라 우리 앞에 놓인 불평등한 시간이다,"사라 샤르마 지음,최영석 옮김",앨피
"포노사피엔스 시대의 멀티리터러시 교육 = ,Phono sapiens age, a study on multi-literacy education and its possibilities",김현아 지음,한국학술정보
"포스트 코로나 시대, 플랫폼 자본주의와 배달노동자","신승철,이승준,장윤석,전병옥 지음",북코리아
